season,week,player,player_id,team,opponent,stat,line,market_over_prob,model_over_prob,edge,actual_value,actual_over,model_correct,market_correct,model_beat_market
2026,1,Drake London,00-0037238,ATL,PIT,rec_yards,72.5,0.5,0.5827318328115041,0.08273183281150409,,,,,
2026,1,Kyle Pitts,00-0036970,ATL,PIT,rec_yards,52.5,0.5,0.5356353321237496,0.035635332123749586,,,,,
2026,1,DK Metcalf,00-0035640,PIT,ATL,rec_yards,49.5,0.5,0.5888210739743429,0.08882107397434291,,,,,
2026,1,Bijan Robinson,00-0038542,ATL,PIT,rec_yards,38.5,0.5,0.5735324337719836,0.0735324337719836,,,,,
2026,1,Bijan Robinson,00-0038542,ATL,PIT,rush_yards,83.5,0.5,0.5288273780092965,0.028827378009296467,,,,,
2026,1,Aaron Rodgers,00-0023459,PIT,ATL,rush_yards,0.5,0.5,0.5616340992790065,0.06163409927900654,,,,,
2026,1,Cam Ward,00-0040676,TEN,NYJ,pass_yards,190.5,0.5,0.48011269867376893,-0.019887301326231066,,,,,
2026,1,Garrett Wilson,00-0037740,NYJ,TEN,rec_yards,67.5,0.5,0.4254398068655276,-0.07456019313447237,,,,,
2026,1,Breece Hall,00-0038120,NYJ,TEN,rec_yards,17.5,0.5,0.5912586733110585,0.09125867331105852,,,,,
2026,1,Breece Hall,00-0038120,NYJ,TEN,rush_yards,64.5,0.5,0.5332179065488021,0.03321790654880208,,,,,
2026,1,Tony Pollard,00-0035261,TEN,NYJ,rush_yards,61.5,0.5,0.5535960534097843,0.05359605340978435,,,,,
2026,1,Cam Ward,00-0040676,TEN,NYJ,rush_yards,7.5,0.5,0.5574609370616361,0.05746093706163613,,,,,
2026,1,Justin Herbert,00-0036355,LAC,ARI,pass_yards,246.5,0.5,0.49529446801642296,-0.004705531983577038,,,,,
2026,1,Trey McBride,00-0037744,ARI,LAC,rec_yards,63.5,0.5,0.6556363555073321,0.15563635550733212,,,,,
2026,1,Ladd McConkey,00-0039915,LAC,ARI,rec_yards,58.5,0.5,0.3622175391293516,-0.13778246087064838,,,,,
2026,1,Michael Wilson,00-0038559,ARI,LAC,rec_yards,52.5,0.5,0.5169244994938211,0.016924499493821132,,,,,
